"","Indicador incremento salario real"
"1",1
"2",0
"3",1
"4",1
"5",1
"6",0
"7",1
"8",0
"9",0
"10",1
"11",0
"12",0
"13",1
"14",1
"15",1
"16",0
"17",0
"18",1
"19",1
"20",1
"21",0
"22",0
"23",1
"24",1
"25",0
"26",1
"27",0
"28",1
"29",0
"30",0
"31",0
"32",0
"33",0
"34",1
"35",0
"36",1
"37",1
"38",0
"39",1
"40",0
"41",1
"42",0
"43",0
"44",0
"45",1
"46",1
"47",1
"48",0
"49",0
"50",1
"51",1
"52",0
"53",1
"54",0
"55",0
"56",1
"57",0
"58",0
"59",1
"60",1
"61",0
"62",0
"63",0
"64",1
"65",0
"66",0
"67",0
"68",1
"69",1
"70",0
"71",1
"72",1
"73",1
"74",0
"75",1
"76",0
"77",0
"78",0
"79",1
"80",1
"81",1
"82",0
"83",0
"84",0
"85",1
"86",1
"87",0
"88",0
"89",0
"90",1
"91",1
"92",1
"93",1
"94",0
"95",1
"96",1
"97",0
"98",1
"99",0
"100",1
"101",1
"102",1
"103",0
"104",0
"105",0
"106",1
"107",0
"108",1
"109",0
"110",0
"111",0
"112",1
"113",1
"114",0
"115",0
"116",1
"117",1
"118",0
"119",0
"120",1
"121",0
"122",1
"123",1
"124",0
"125",1
"126",0
"127",0
"128",0
"129",1
"130",0
"131",1
"132",1
"133",0
"134",0
"135",0
"136",1
"137",1
"138",0
"139",0
"140",0
"141",1
"142",1
"143",0
"144",1
"145",1
"146",1
"147",0
"148",1
"149",0
"150",1
"151",1
"152",0
"153",1
"154",0
"155",0
"156",0
"157",1
"158",1
"159",0
"160",1
"161",1
"162",0
"163",1
"164",1
"165",0
"166",0
"167",0
"168",1
"169",1
"170",0
"171",0
"172",1
"173",0
"174",0
"175",1
"176",1
"177",1
"178",0
"179",1
"180",0
"181",1
"182",0
"183",1
"184",1
"185",1
"186",1
"187",0
"188",0
"189",0
"190",1
"191",1
"192",0
"193",1
"194",0
"195",1
"196",0
"197",1
"198",1
"199",0
"200",1
"201",0
"202",0
"203",1
"204",1
"205",0
"206",1
"207",0
"208",1
"209",0
"210",1
"211",1
"212",1
"213",0
"214",1
"215",0
"216",0
"217",1
"218",1
"219",0
"220",0
"221",1
"222",0
"223",0
"224",1
"225",1
"226",0
"227",0
"228",1
"229",1
"230",0
"231",1
"232",1
"233",0
"234",1
"235",1
"236",0
"237",1
"238",0
"239",1
"240",1
"241",0
"242",1
"243",0
"244",1
"245",0
"246",0
"247",0
"248",0
"249",1
"250",0
"251",0
"252",1
"253",0
"254",1
"255",1
"256",1
"257",0
"258",0
"259",0
"260",0
"261",1
"262",0
"263",1
"264",0
"265",1
"266",0
"267",1
"268",0
"269",1
"270",1
"271",0
"272",1
"273",0
"274",1
"275",1
"276",1
"277",0
"278",1
"279",0
"280",1
"281",1
"282",0
"283",0
"284",0
"285",1
"286",1
"287",0
"288",1
"289",0
"290",1
"291",1
"292",1
"293",1
"294",0
"295",0
"296",1
"297",0
"298",0
"299",0
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",0
"307",1
"308",0
"309",0
"310",0
"311",1
"312",1
"313",0
"314",1
"315",1
"316",0
"317",0
"318",1
"319",1
"320",1
"321",1
"322",0
"323",0
"324",0
"325",0
"326",1
"327",1
"328",1
"329",0
"330",0
"331",1
"332",1
"333",0
"334",1
"335",1
"336",0
"337",1
"338",1
"339",0
"340",1
"341",0
"342",0
"343",0
"344",0
"345",1
"346",1
"347",0
"348",1
"349",0
"350",1
"351",1
"352",0
"353",0
"354",1
"355",0
"356",1
"357",0
"358",0
"359",1
"360",0
"361",1
"362",0
"363",0
"364",1
"365",0
"366",0
"367",1
"368",0
"369",0
"370",0
"371",0
"372",0
"373",1
"374",0
"375",1
"376",0
"377",1
"378",1
"379",0
"380",0
"381",1
"382",1
"383",0
"384",1
"385",0
"386",1
"387",0
"388",1
"389",0
"390",1
"391",1
"392",0
"393",0
"394",1
"395",1
"396",0
"397",1
"398",1
"399",0
"400",0
"401",0
"402",1
"403",0
"404",1
"405",0
"406",0
"407",0
"408",1
"409",0
"410",1
"411",1
"412",0
"413",0
"414",1
"415",1
"416",0
"417",1
"418",1
"419",1
"420",0
"421",0
"422",0
"423",1
"424",0
"425",0
"426",1
"427",0
"428",1
"429",0
"430",1
"431",0
"432",0
"433",0
"434",0
"435",0
"436",1
"437",0
"438",0
"439",0
"440",1
"441",0
"442",1
"443",1
"444",1
"445",1
"446",0
"447",0
"448",0
"449",1
"450",1
"451",0
"452",0
"453",0
"454",1
"455",0
"456",1
"457",0
"458",0
"459",0
"460",0
"461",1
"462",1
"463",0
"464",1
"465",0
"466",0
"467",1
"468",0
"469",1
"470",1
"471",1
"472",0
"473",1
"474",1
"475",0
"476",1
"477",0
"478",1
"479",0
"480",0
"481",1
"482",0
"483",0
"484",0
"485",1
"486",1
"487",1
"488",0
"489",0
"490",0
"491",1
"492",0
"493",1
"494",0
"495",0
"496",1
"497",0
"498",1
"499",0
"500",1
"501",1
"502",0
"503",0
"504",1
"505",0
"506",0
"507",0
"508",1
"509",0
"510",1
"511",0
"512",1
"513",0
"514",1
"515",0
"516",1
"517",0
"518",1
"519",1
"520",1
"521",0
"522",1
"523",0
"524",0
"525",1
"526",1
"527",1
"528",1
"529",1
"530",0
"531",1
"532",1
"533",0
"534",1
"535",1
"536",0
"537",0
"538",0
"539",1
"540",1
"541",0
"542",1
"543",0
"544",0
"545",1
"546",0
"547",0
"548",0
"549",1
"550",0
"551",0
"552",1
"553",0
"554",0
"555",0
"556",1
"557",0
"558",0
"559",0
"560",1
"561",0
"562",1
"563",1
"564",1
"565",0
"566",0
"567",0
"568",0
"569",1
"570",0
"571",1
"572",0
"573",0
"574",1
"575",1
"576",0
"577",0
"578",1
"579",1
"580",0
"581",1
"582",0
"583",0
"584",1
"585",0
"586",0
"587",0
"588",1
"589",1
"590",0
"591",1
"592",0
"593",0
"594",0
"595",1
"596",1
"597",0
"598",1
"599",1
"600",0
"601",0
"602",0
"603",1
"604",1
"605",1
"606",1
"607",1
"608",0
"609",1
"610",0
"611",0
"612",1
"613",1
"614",0
"615",0
"616",0
"617",1
"618",0
"619",1
"620",1
"621",0
"622",1
"623",0
"624",0
"625",1
"626",0
"627",0
"628",0
"629",1
"630",1
"631",1
"632",1
"633",1
"634",0
"635",0
"636",0
"637",1
"638",0
"639",1
"640",0
"641",1
"642",1
"643",1
"644",0
"645",0
"646",0
"647",1
"648",1
"649",0
"650",1
"651",1
"652",1
"653",0
"654",0
"655",1
"656",0
"657",1
"658",0
"659",1
"660",1
"661",1
"662",0
"663",0
"664",1
"665",0
"666",1
"667",0
"668",0
"669",1
"670",1
"671",0
"672",0
"673",0
