"","Indicador incremento salario real"
"1",1
"2",0
"3",1
"4",0
"5",1
"6",1
"7",0
"8",0
"9",0
"10",1
"11",0
"12",0
"13",1
"14",1
"15",0
"16",1
"17",0
"18",1
"19",0
"20",1
"21",1
"22",0
"23",0
"24",1
"25",1
"26",1
"27",1
"28",0
"29",1
"30",0
"31",1
"32",1
"33",1
"34",0
"35",0
"36",1
"37",1
"38",0
"39",1
"40",0
"41",0
"42",1
"43",0
"44",0
"45",1
"46",0
"47",1
"48",0
"49",0
"50",1
"51",1
"52",0
"53",0
"54",1
"55",1
"56",0
"57",1
"58",1
"59",0
"60",1
"61",0
"62",1
"63",1
"64",1
"65",0
"66",0
"67",1
"68",1
"69",0
"70",0
"71",1
"72",0
"73",1
"74",0
"75",0
"76",1
"77",1
"78",1
"79",1
"80",0
"81",1
"82",0
"83",0
"84",1
"85",1
"86",0
"87",1
"88",0
"89",1
"90",0
"91",0
"92",1
"93",1
"94",0
"95",1
"96",1
"97",1
"98",0
"99",0
"100",1
"101",0
"102",1
"103",0
"104",1
"105",0
"106",0
"107",1
"108",0
"109",0
"110",1
"111",1
"112",0
"113",0
"114",1
"115",1
"116",0
"117",0
"118",1
"119",1
"120",0
"121",1
"122",1
"123",1
"124",0
"125",0
"126",1
"127",1
"128",1
"129",1
"130",1
"131",0
"132",1
"133",0
"134",1
"135",1
"136",0
"137",1
"138",0
"139",0
"140",1
"141",1
"142",0
"143",1
"144",0
"145",0
"146",1
"147",0
"148",1
"149",1
"150",0
"151",0
"152",1
"153",1
"154",0
"155",1
"156",0
"157",1
"158",0
"159",1
"160",1
"161",0
"162",1
"163",0
"164",1
"165",1
"166",1
"167",1
"168",0
"169",0
"170",1
"171",0
"172",1
"173",1
"174",1
"175",0
"176",1
"177",1
"178",0
"179",0
"180",1
"181",1
"182",0
"183",0
"184",1
"185",1
"186",0
"187",0
"188",0
"189",1
"190",0
"191",1
"192",1
"193",0
"194",1
"195",1
"196",1
"197",0
"198",1
"199",0
"200",1
"201",0
"202",1
"203",1
"204",0
"205",0
"206",1
"207",1
"208",1
"209",0
"210",1
"211",0
"212",0
"213",1
"214",1
"215",0
"216",0
"217",1
"218",0
"219",0
"220",0
"221",1
"222",1
"223",1
"224",0
"225",1
"226",1
"227",0
"228",0
"229",1
"230",1
"231",1
"232",0
"233",1
"234",0
"235",0
"236",1
"237",0
"238",1
"239",1
"240",0
"241",1
"242",1
"243",0
"244",0
"245",0
"246",1
"247",0
"248",0
"249",1
"250",0
"251",1
"252",1
"253",0
"254",0
"255",1
"256",1
"257",1
"258",0
"259",1
"260",0
"261",1
"262",0
"263",1
"264",0
"265",1
"266",0
"267",0
"268",1
"269",1
"270",1
"271",0
"272",0
"273",1
"274",0
"275",1
"276",0
"277",1
"278",0
"279",1
"280",1
"281",0
"282",1
"283",0
"284",1
"285",0
"286",1
"287",1
"288",1
"289",0
"290",0
"291",1
"292",0
"293",1
"294",1
"295",0
"296",1
"297",1
"298",0
"299",1
"300",1
"301",0
"302",0
"303",1
"304",0
"305",1
"306",1
"307",0
"308",0
"309",1
"310",0
"311",1
"312",1
"313",0
"314",0
"315",1
"316",1
"317",0
"318",0
"319",1
"320",1
"321",1
"322",0
"323",0
"324",1
"325",1
"326",0
"327",1
"328",1
"329",1
"330",1
"331",0
"332",1
"333",1
"334",0
"335",1
"336",1
"337",1
"338",0
"339",1
"340",0
"341",1
"342",0
"343",1
"344",1
"345",0
"346",1
"347",1
"348",0
"349",0
"350",0
"351",1
"352",0
"353",1
"354",1
"355",1
"356",0
"357",1
"358",1
"359",0
"360",1
"361",1
"362",0
"363",1
"364",0
"365",1
"366",0
"367",1
"368",0
"369",1
"370",0
"371",0
"372",1
"373",0
"374",0
"375",1
"376",0
"377",0
"378",1
"379",1
"380",0
"381",1
"382",0
"383",1
"384",1
"385",0
"386",1
"387",1
"388",1
"389",0
"390",0
"391",0
"392",1
"393",0
"394",0
"395",1
"396",0
"397",1
"398",1
"399",0
"400",0
"401",1
"402",0
"403",0
"404",1
"405",1
"406",0
"407",1
"408",0
"409",0
"410",1
"411",1
"412",0
"413",0
"414",1
"415",0
"416",0
"417",1
"418",1
"419",0
"420",1
"421",0
"422",1
"423",1
"424",1
"425",1
"426",0
"427",0
"428",1
"429",1
"430",0
"431",1
"432",0
"433",1
"434",0
"435",1
"436",1
"437",0
"438",1
"439",0
"440",1
"441",1
"442",0
"443",1
"444",0
"445",1
"446",0
"447",0
"448",1
"449",1
"450",0
"451",1
"452",0
"453",0
"454",1
"455",0
"456",0
"457",1
"458",1
"459",0
"460",1
"461",1
"462",1
"463",0
"464",1
"465",1
"466",0
"467",0
"468",1
"469",0
"470",1
"471",0
"472",0
"473",1
"474",1
"475",0
"476",0
"477",1
"478",1
"479",0
"480",1
"481",0
"482",1
"483",1
"484",0
"485",0
"486",1
"487",0
"488",0
"489",0
"490",1
"491",1
"492",1
"493",0
"494",0
"495",1
"496",1
"497",1
"498",0
"499",1
"500",1
"501",0
"502",0
"503",1
"504",0
"505",1
"506",0
"507",1
"508",1
"509",0
"510",0
"511",1
"512",0
"513",0
"514",1
"515",1
"516",1
"517",1
"518",1
"519",0
"520",0
"521",1
"522",1
"523",0
"524",1
"525",0
"526",0
"527",1
"528",1
"529",0
"530",0
"531",1
"532",0
"533",1
"534",1
"535",1
"536",1
"537",0
"538",1
"539",1
"540",1
"541",1
"542",1
"543",0
"544",1
"545",1
"546",0
"547",0
"548",1
"549",1
"550",0
"551",0
"552",0
"553",1
"554",0
"555",1
"556",0
"557",1
"558",0
"559",1
"560",0
"561",1
"562",0
"563",1
"564",0
"565",0
"566",1
"567",0
"568",0
"569",0
"570",1
"571",0
"572",1
"573",0
"574",1
"575",1
"576",0
"577",1
"578",0
"579",1
"580",1
"581",0
"582",0
"583",0
"584",1
"585",0
"586",1
"587",0
"588",1
"589",1
"590",0
"591",1
"592",1
"593",0
"594",1
"595",1
"596",0
"597",1
"598",1
"599",0
"600",1
"601",1
"602",0
"603",1
"604",0
"605",0
"606",0
"607",1
"608",0
"609",0
"610",1
"611",0
"612",1
"613",1
"614",0
"615",0
"616",1
"617",0
"618",0
"619",1
"620",0
"621",0
"622",0
"623",1
"624",0
"625",1
"626",0
"627",0
"628",1
"629",1
"630",0
"631",0
"632",0
"633",1
"634",1
"635",0
"636",1
"637",1
"638",0
"639",1
"640",0
"641",0
"642",1
"643",1
"644",0
"645",1
"646",0
"647",0
"648",0
"649",1
"650",0
"651",1
"652",0
"653",1
"654",0
"655",1
"656",1
"657",0
"658",1
"659",1
"660",0
"661",0
"662",1
"663",0
"664",1
"665",0
"666",0
"667",1
"668",1
"669",0
"670",0
"671",1
"672",0
"673",1
