"","Sexo","Educ","cargo","Sal"
"1","masc","sec","outro","8.92"
"2","fem","sec","outro","9.63"
"3","masc","prim","outro","5.29"
"4","masc","sec","outro","8.11"
"5","masc","prim","outro","4.43"
"6","fem","prim","outro","6.64"
"7","fem","prim","outro","6.95"
"8","masc","sec","outro","7.39"
"9","masc","prim","outro","1.43"
"10","masc","prim","outro","4.88"
"11","fem","prim","outro","4.47"
"12","fem","prim","outro","4.28"
"13","masc","terc","gerencial","22.59"
"14","masc","prim","outro","1.01"
"15","fem","sec","outro","8.4"
"16","masc","sec","outro","8.34"
"17","fem","prim","outro","7.59"
"18","fem","prim","outro","5.46"
"19","fem","prim","outro","5.8"
"20","fem","prim","outro","6.23"
"21","masc","prim","outro","0.56"
"22","masc","prim","outro","0.75"
"23","fem","sec","outro","10.08"
"24","masc","prim","outro","1.93"
"25","masc","sec","outro","9.16"
"26","masc","sec","outro","7.93"
"27","fem","prim","outro","5.7"
"28","fem","terc","gerencial","19.41"
"29","masc","sec","outro","5.04"
"30","fem","sec","outro","8.61"
"31","fem","prim","outro","5.55"
"32","masc","sec","outro","7.1"
"33","masc","prim","outro","0.92"
"34","fem","prim","outro","6.79"
"35","fem","sec","outro","9.15"
"36","fem","sec","outro","12.52"
"37","masc","prim","outro","4.63"
"38","fem","terc","gerencial","22.13"
"39","masc","sec","outro","8.49"
"40","masc","sec","outro","7.55"
"41","fem","sec","outro","8.46"
"42","fem","prim","outro","17.38"
"43","fem","prim","outro","5.36"
"44","fem","prim","outro","4.78"
"45","masc","prim","outro","2.57"
"46","fem","prim","outro","4.32"
"47","fem","sec","gerencial","14.08"
"48","fem","prim","outro","6.62"
"49","fem","sec","outro","8.86"
"50","masc","sec","outro","5.32"
"51","masc","prim","outro","6.64"
"52","fem","prim","outro","5.08"
"53","masc","terc","gerencial","22.85"
"54","fem","sec","outro","9.06"
"55","fem","prim","outro","5.71"
"56","fem","prim","outro","5.4"
"57","masc","sec","outro","7"
"58","masc","sec","outro","7.34"
"59","fem","prim","outro","5.72"
"60","fem","prim","outro","6.39"
"61","masc","sec","outro","9.07"
"62","fem","prim","outro","6.93"
"63","masc","sec","outro","4.71"
"64","masc","sec","outro","9.44"
"65","fem","prim","outro","6.99"
"66","masc","sec","outro","7.34"
"67","fem","terc","gerencial","17.92"
"68","fem","sec","outro","7.56"
"69","masc","sec","outro","6.31"
"70","masc","prim","outro","2.32"
"71","fem","prim","outro","4.94"
"72","fem","sec","gerencial","17.05"
"73","fem","sec","outro","8.03"
"74","fem","prim","outro","2.82"
"75","masc","terc","gerencial","22.71"
"76","masc","prim","outro","1.29"
"77","masc","prim","outro","4.02"
"78","masc","prim","outro","2.19"
"79","masc","prim","outro","4.47"
"80","fem","sec","gerencial","12.68"
"81","fem","sec","gerencial","14.8"
"82","fem","sec","outro","10.61"
"83","masc","sec","outro","6"
"84","fem","sec","outro","8.31"
"85","masc","sec","outro","9.29"
"86","fem","prim","outro","6.26"
"87","fem","prim","outro","6.45"
"88","masc","prim","outro","4.16"
"89","masc","prim","outro","4.78"
"90","masc","sec","outro","7.84"
"91","fem","prim","outro","6.62"
"92","masc","prim","outro","4.12"
"93","fem","sec","outro","8.3"
"94","masc","prim","outro","4.54"
"95","masc","prim","outro","4.41"
"96","fem","sec","outro","6.98"
"97","fem","prim","outro","7.06"
"98","fem","prim","outro","4.86"
"99","masc","sec","outro","6.47"
"100","masc","prim","outro","2.93"
"101","masc","terc","outro","12.02"
"102","masc","terc","gerencial","21.27"
"103","masc","sec","outro","5.48"
"104","fem","sec","outro","8.99"
"105","masc","prim","outro","1.33"
"106","masc","sec","outro","8.11"
"107","masc","prim","outro","3.6"
"108","masc","sec","outro","9.27"
"109","masc","sec","outro","7.95"
"110","fem","sec","outro","9.85"
"111","fem","sec","outro","10.35"
"112","masc","sec","outro","9.86"
"113","masc","sec","outro","7.1"
"114","fem","prim","outro","5.97"
"115","fem","sec","outro","9.94"
"116","masc","terc","gerencial","24.21"
"117","masc","sec","outro","8.95"
"118","masc","sec","outro","9.44"
"119","masc","prim","outro","3.28"
"120","masc","sec","outro","6.78"
"121","fem","sec","outro","9.97"
"122","masc","terc","gerencial","23.22"
"123","masc","sec","gerencial","18.76"
"124","masc","prim","outro","3.15"
"125","masc","terc","gerencial","21"
"126","fem","prim","outro","7.04"
"127","fem","prim","outro","2.68"
"128","masc","prim","outro","3.74"
"129","masc","sec","outro","5"
"130","masc","sec","outro","9.74"
"131","masc","sec","outro","6.13"
"132","masc","prim","outro","13.11"
"133","fem","sec","outro","12.67"
"134","fem","sec","gerencial","15.03"
"135","fem","prim","outro","2.37"
"136","masc","sec","gerencial","20.24"
"137","masc","prim","outro","4.36"
"138","fem","prim","outro","6.05"
"139","fem","prim","outro","4.11"
"140","fem","sec","gerencial","14.45"
"141","masc","terc","gerencial","24.13"
"142","fem","prim","outro","5.05"
"143","masc","sec","outro","5.87"
"144","fem","prim","outro","3.31"
"145","masc","sec","outro","9.02"
"146","fem","prim","outro","5.02"
"147","masc","sec","outro","9.73"
"148","fem","sec","outro","9.14"
"149","fem","prim","outro","3.93"
"150","masc","terc","outro","9.15"
"151","masc","terc","outro","14.64"
"152","fem","prim","outro","7.26"
"153","masc","sec","outro","7.74"
"154","fem","prim","outro","5.2"
"155","masc","sec","outro","20.05"
"156","fem","prim","outro","3.75"
"157","masc","sec","outro","8.35"
"158","masc","sec","outro","7.06"
"159","masc","sec","gerencial","17.87"
"160","masc","terc","gerencial","23.03"
"161","fem","terc","gerencial","19.04"
"162","fem","prim","outro","5.18"
"163","fem","sec","outro","8.88"
"164","masc","sec","outro","7.8"
"165","masc","prim","outro","4.32"
"166","fem","sec","outro","10.82"
"167","fem","terc","gerencial","17.37"
"168","fem","sec","outro","10.63"
"169","masc","prim","outro","2"
"170","masc","prim","outro","5.77"
"171","masc","terc","gerencial","20.36"
"172","masc","sec","outro","7.09"
"173","masc","terc","gerencial","21.63"
"174","fem","sec","outro","8.96"
"175","masc","prim","outro","2.53"
"176","fem","prim","outro","6.67"
"177","fem","sec","outro","9.91"
"178","masc","sec","outro","16.01"
"179","fem","sec","outro","9"
"180","masc","sec","outro","9"
"181","fem","terc","gerencial","20.56"
"182","fem","sec","outro","8.47"
"183","masc","prim","outro","5.26"
"184","masc","prim","outro","13.58"
"185","masc","prim","outro","2.19"
"186","fem","sec","gerencial","13.83"
"187","fem","prim","outro","3.48"
"188","fem","prim","outro","3.19"
"189","masc","sec","outro","10.13"
"190","fem","prim","outro","7.58"
"191","masc","sec","outro","6.99"
"192","fem","sec","outro","10.13"
"193","masc","sec","outro","17.64"
"194","fem","prim","outro","5.74"
"195","masc","sec","outro","6.23"
"196","masc","sec","outro","9.87"
"197","fem","prim","outro","6.54"
"198","masc","sec","outro","8.43"
"199","masc","terc","outro","11.22"
"200","fem","terc","outro","13.88"
